Öğrenci Numarası	Quiz 1 Notu	Rapor 1 Notu	Hafta 1 Açıklama	Quiz 2 Notu	Rapor 2 Notu	Hafta 2 Açıklama	Quiz 3 Notu	Rapor 3 Notu	Hafta 3 Açıklama	Quiz 4 Notu	Rapor 4 Notu	Hafta 4 Açıklama	Quiz 5 Notu	Rapor 5 Notu	Hafta 5 Açıklama	Quiz 6 Notu	Rapor 6 Notu	Hafta 6 Açıklama	Quiz 7 Notu	Rapor 7 Notu	Hafta 7 Açıklama	Quiz 8 Notu	Rapor 8 Notu	Hafta 8 Açıklama	Quiz 9 Notu	Rapor 9 Notu	Hafta 9 Açıklama	Quiz 10 Notu	Rapor 10 Notu	Hafta 10 Açıklama	Arasınav Notu	Deneysel sınav (Pratik)	Deneysel sınav (Teorik)	Rapor Ortalaması	Quiz Ortalaması	Genel Ortalama
90210240	50	100		20	100	Raporunuz çok güzel. Teşekkür ederim	45	100	Teşekkürler çok güzel bir rapor	45						10															37,5					
90220222	80	100		60	100	Tebrikler, raporunuz çok güzel.	50	100	Raporunuz çok güzel. Teşekkür ederim	70	100	Güzel bir rapor. Teşekkürler				65															46					
90220229	90	100		65	100	Tebrikler, raporunuz çok güzel.	100	100	Harika bir rapor. Teşekkür ederim	80		[Quiz: Lütfen spektrumlarınızdaki piklere neden olan kimyasal bağ veya grupları daha net açıklayınız.]				100															79					
90220230	10	95		0	95	Amaç kısmınız eksik. Benim verdiğim örnekleri de eklemeyi unutmayınız.	25	90	Deney amacı eksik, teorik kısım eksik	65						25															G					
90220231	60	100		35	100	Raporunuz çok güzel. Teşekkür ederim	50	100	Teşekkür ederim. Çok güzel bir rapor	50						55															49					
90220258	65	100		50	95	Amaç kısmınız eksik. Benim verdiğim örnekleri de eklemeyi unutmayınız.	50	100	Teşekkürler	40						75															34					
90220264	30	90		65	95	Amaç kısmınız eksik. onun dışında raporunuz çok güzel.tebrik ederim	50			65		[Quiz: Reaksiyon takibinde reaktan miktarının azalması beklenen ürünün oluştuğu anlamına gelmek zorunda değildir, beklenen ürüne ait sinyaller üzerinden de yorum yapmalısınız.]				85															84					
90220722	70	100		65	100	Raporunuz çok güzel. Teşekkür ederim	95	100	Çok güzel bir rapor teşekkür ederim	60						75															25,5					
90220726	15	100		45	100	Raporunuz çok güzel. Fakat yapay zeka kullanımını lütfen azaltınız.	60	100	Güzel bir rapor teşekkür ederim.	5						20															20					
90230209	80	100		70	100	Raporunuz çok güzel. Teşekkür ederim	50	100	Güzel bir rapor teşekkür ederim.	50		"[Quiz: Rezonan yapılarının arasında denge oku kullanmışsınız, rezonans yapıları denge oku ile gösterilmez. Eliminasyon basamağında aldol hidroksi grubunu protonlayıp ""OH2+"" diye göstermişsiniz, NaOH gibi bir bazın bulunduğu reaksiyon ortamında böyle kuvvetli asidik bir yapı var olamaz. UV ile takip konusunda y ekseni lambda, x ekseni ise t olan bir grafik çizmişsiniz, sizce burada bir sorun yok mu?]"				75															60					
90230259	85	90		65	90	Referans ve deneyin amacı eksik. Onun dışında raporunuz harika	65	100	Güzel bir rapor teşekkür ederim. Oldukça detaylı yazıyorsunuz harika	70	100	Çok özenli ve çok güzel bir rapor.				85															63					
90210254	85	100	Elinize sağlık. Sadece ekstraksiyonda CaCl2 sonrası sulu faz belirtmişsiniz. Ancak CaCl2 katıdır. Kurutucu tuzdur. Faz ayrımı olmayacaktır. Ayrıca referans olarak lütfen lab föyü diye yazmayın. 	70	100	Tebrikler, Raporunuz gayet güzel.	100	100	Raporunuz çok güzel. Elinize sağlık.	90	100	Raporunuz çok güzel. Elinize sağlık.		100	Elinize sağlık	75	100	Geçen hafta raporunuz neden girilmemiş anlamadım. Sanırım yanlışlıkla silinmiş girdikten sonra.		100	Raporunuz her zamanki gibi çok iyi. Teşekkürler. 		100	Tebrikler							41					
